ACC,AUC,F-1,MCC,Prec,Recall,Sens,Spec,Thres
0.7777777777777778,0.7504032258064516,0.36666666666666664,0.31617128455721966,0.25,0.6875,0.6875,0.7870967741935484,0.3530047833919525
0.4152046783625731,0.6645161290322581,0.21875,0.14870844545482256,0.125,0.875,0.875,0.36774193548387096,0.028411205857992172
0.8128654970760234,0.7713709677419355,0.3846153846153846,0.32663978384008396,0.2777777777777778,0.625,0.625,0.832258064516129,0.2148563712835312
0.7894736842105263,0.7786290322580646,0.35714285714285715,0.296819407468727,0.25,0.625,0.625,0.8064516129032258,0.3327474892139435
0.6374269005847953,0.76585179526356,0.29545454545454547,0.23565665697115834,0.18309859154929578,0.7647058823529411,0.7647058823529411,0.6233766233766234,0.10165347903966904
0.7076023391812866,0.842741935483871,0.34210526315789475,0.3107709358068805,0.21666666666666667,0.8125,0.8125,0.6967741935483871,0.13795484602451324
0.672514619883041,0.6907258064516129,0.2631578947368421,0.18454331104921642,0.16666666666666666,0.625,0.625,0.6774193548387096,0.09352138638496399
0.5847953216374269,0.8,0.2828282828282829,0.25046726992118173,0.1686746987951807,0.875,0.875,0.5548387096774193,0.07285666465759277
0.7953216374269005,0.7237903225806451,0.339622641509434,0.2700666002817638,0.24324324324324326,0.5625,0.5625,0.8193548387096774,0.5120244026184082
0.5614035087719298,0.6478227654698243,0.2424242424242424,0.1505355740336994,0.14634146341463414,0.7058823529411765,0.7058823529411765,0.5454545454545454,0.025716079398989677
0.8713450292397661,0.7032258064516129,0.35294117647058826,0.2823895058550827,0.3333333333333333,0.375,0.375,0.9225806451612903,0.7527380585670471
0.6608187134502924,0.730241935483871,0.275,0.20795679028155972,0.171875,0.6875,0.6875,0.6580645161290323,0.10352294147014618
0.7426900584795322,0.7487903225806452,0.3125,0.2461795015245767,0.20833333333333334,0.625,0.625,0.7548387096774194,0.25003287196159363
0.6023391812865497,0.7201612903225807,0.2608695652173913,0.1975658322294524,0.15789473684210525,0.75,0.75,0.5870967741935483,0.13188011944293976
0.5730994152046783,0.7307104660045837,0.26262626262626265,0.18965652108501033,0.15853658536585366,0.7647058823529411,0.7647058823529411,0.551948051948052,0.029616694897413254
0.543859649122807,0.730241935483871,0.25000000000000006,0.1914923311311099,0.14772727272727273,0.8125,0.8125,0.5161290322580645,0.19056853652000427
0.7192982456140351,0.8080645161290323,0.35135135135135137,0.3212112219071968,0.22413793103448276,0.8125,0.8125,0.7096774193548387,0.10750290006399155
0.847953216374269,0.6310483870967742,0.2777777777777778,0.19548996557267823,0.25,0.3125,0.3125,0.9032258064516129,0.4935475289821625
0.6257309941520468,0.7225806451612904,0.27272727272727276,0.2140586703908568,0.16666666666666666,0.75,0.75,0.6129032258064516,0.11616261303424835
0.9122807017543859,0.8029029793735676,0.5454545454545455,0.4972398804462765,0.5625,0.5294117647058824,0.5294117647058824,0.9545454545454546,0.835354208946228
0.783625730994152,0.7443548387096774,0.3508771929824561,0.28990196958624004,0.24390243902439024,0.625,0.625,0.8,0.415809690952301
0.7426900584795322,0.7076612903225806,0.3125,0.2461795015245767,0.20833333333333334,0.625,0.625,0.7548387096774194,0.2619628608226776
0.8362573099415205,0.7899193548387097,0.4166666666666667,0.36070203154145686,0.3125,0.625,0.625,0.8580645161290322,0.1483122706413269
0.4678362573099415,0.6729838709677419,0.22222222222222224,0.1449616567170289,0.12871287128712872,0.8125,0.8125,0.432258064516129,0.07163736969232559
0.6842105263157895,0.7452253628724217,0.32499999999999996,0.27295151269784323,0.20634920634920634,0.7647058823529411,0.7647058823529411,0.6753246753246753,0.14258669316768646
0.5730994152046783,0.6951612903225807,0.24742268041237112,0.17780017780026672,0.14814814814814814,0.75,0.75,0.5548387096774193,0.11938290297985077
0.8245614035087719,0.8125,0.4,0.34306227864956296,0.29411764705882354,0.625,0.625,0.8451612903225807,0.5659893751144409
0.5087719298245614,0.7439516129032259,0.25000000000000006,0.20304635574332566,0.14583333333333334,0.875,0.875,0.47096774193548385,0.0414627380669117
0.8771929824561403,0.6362903225806452,0.3225806451612903,0.2552944342106929,0.3333333333333333,0.3125,0.3125,0.9354838709677419,0.6995341777801514
0.49122807017543857,0.7020626432391138,0.25641025641025644,0.20063288216540548,0.15,0.8823529411764706,0.8823529411764706,0.44805194805194803,0.11323606967926025
0.6842105263157895,0.842741935483871,0.3414634146341463,0.32274807133957334,0.21212121212121213,0.875,0.875,0.6645161290322581,0.11978477239608765
0.6081871345029239,0.6366935483870968,0.22988505747126436,0.13679079627142554,0.14084507042253522,0.625,0.625,0.6064516129032258,0.04778846353292465
0.8304093567251462,0.7165322580645161,0.3829787234042554,0.31791689141018065,0.2903225806451613,0.5625,0.5625,0.8580645161290322,0.7213199138641357
0.7017543859649122,0.7701612903225806,0.32,0.2737025873155206,0.2033898305084746,0.75,0.75,0.6967741935483871,0.16421563923358917
0.5555555555555556,0.6524064171122994,0.24,0.1465861120784915,0.14457831325301204,0.7058823529411765,0.7058823529411765,0.538961038961039,0.07971729338169098
0.7602339181286549,0.8060483870967742,0.3692307692307692,0.32931799133447054,0.24489795918367346,0.75,0.75,0.7612903225806451,0.15322957932949066
0.5263157894736842,0.7237903225806452,0.24299065420560748,0.1805110672277605,0.14285714285714285,0.8125,0.8125,0.4967741935483871,0.014001216739416122
0.6023391812865497,0.752016129032258,0.2608695652173913,0.1975658322294524,0.15789473684210525,0.75,0.75,0.5870967741935483,0.10809692740440369
0.543859649122807,0.7298387096774193,0.2352941176470588,0.15876770499373735,0.13953488372093023,0.75,0.75,0.5225806451612903,0.12069229781627655
0.8771929824561403,0.7326203208556149,0.39999999999999997,0.3318263843971811,0.3888888888888889,0.4117647058823529,0.4117647058823529,0.9285714285714286,0.8470451831817627
0.5789473684210527,0.6741935483870968,0.2340425531914894,0.14924132425305095,0.14102564102564102,0.6875,0.6875,0.567741935483871,0.13245098292827606
0.4678362573099415,0.6685483870967741,0.22222222222222224,0.1449616567170289,0.12871287128712872,0.8125,0.8125,0.432258064516129,0.07179325073957443
0.8713450292397661,0.7745967741935484,0.4210526315789474,0.35633902955684543,0.36363636363636365,0.5,0.5,0.9096774193548387,0.591367244720459
0.7602339181286549,0.7814516129032258,0.3492063492063492,0.296967094547313,0.23404255319148937,0.6875,0.6875,0.7677419354838709,0.2588732838630676
0.6491228070175439,0.7158135981665393,0.2682926829268293,0.18271209158524612,0.16923076923076924,0.6470588235294118,0.6470588235294118,0.6493506493506493,0.12910307943820953
0.631578947368421,0.7262096774193548,0.29213483146067415,0.2504679442832473,0.1780821917808219,0.8125,0.8125,0.6129032258064516,0.11454246193170547
0.847953216374269,0.7713709677419355,0.380952380952381,0.3113439513547331,0.3076923076923077,0.5,0.5,0.8838709677419355,0.36360225081443787
0.8362573099415205,0.7431451612903226,0.36363636363636365,0.2919543514007959,0.2857142857142857,0.5,0.5,0.8709677419354839,0.5009985566139221
0.8304093567251462,0.6806451612903226,0.3255813953488372,0.2463612883725894,0.25925925925925924,0.4375,0.4375,0.8709677419354839,0.5106722712516785
0.6198830409356725,0.7173414820473645,0.2696629213483146,0.1916733221058987,0.16666666666666666,0.7058823529411765,0.7058823529411765,0.6103896103896104,0.24623878300189972
